iter	RMSE
0	75586.36032
1	73807.31688
2	72101.5082
3	70655.12807
4	69068.54018
5	67493.85611
6	66111.06431
7	64765.14329
8	63612.72235
9	62258.81712
10	61163.31978
11	59949.81618
12	59080.56873
13	57952.35308
14	57094.22298
15	55981.12704
16	55024.69013
17	54044.71685
18	53135.31628
19	52261.96451
20	51471.85829
21	50757.87441
22	50150.04169
23	49336.41836
24	48643.69318
25	48012.54638
26	47451.40934
27	46827.7028
28	46158.26952
29	45599.1837
30	45003.79624
31	44297.21911
32	43788.36563
33	43160.87863
34	42711.00417
35	42362.76043
36	42036.24896
37	41613.64592
38	41119.72713
39	40655.24853
40	40337.28046
41	40010.3617
42	39656.15146
43	39311.99807
44	39120.22875
45	38778.89442
46	38326.72169
47	37962.89875
48	37587.62743
49	37206.28223
50	36944.17181
51	36647.45129
52	36422.48586
53	36253.08894
54	35986.47448
55	35813.75543
56	35617.8446
57	35328.02136
58	35123.85412
59	34892.86373
60	34661.94265
61	34460.50353
62	34233.22276
63	34029.73493
64	33907.38349
65	33757.76898
66	33646.35683
67	33472.96265
68	33317.65049
69	33173.42992
70	33070.37153
71	32904.64007
72	32798.8005
73	32718.42879
74	32533.69308
75	32381.23091
76	32189.96458
77	32043.37432
78	31980.65393
79	31878.90739
80	31742.62733
81	31626.34958
82	31447.94878
83	31376.55801
84	31285.50601
85	31246.52408
86	31159.01633
87	31009.49359
88	30924.35161
89	30832.24699
90	30730.30016
91	30683.48573
92	30519.31293
93	30446.89141
94	30307.78682
95	30250.67759
96	30166.8424
97	30034.17992
98	29966.66599
99	29849.57847
100	29775.85665
101	29684.04621
102	29627.7391
103	29564.71228
104	29485.86162
105	29420.03492
106	29373.74955
107	29335.76934
108	29251.8662
109	29211.9481
110	29130.99252
111	29066.30852
112	29026.32964
113	28942.66635
114	28885.50901
115	28826.00309
116	28792.15135
117	28708.7676
118	28663.57112
119	28628.56102
120	28565.48895
121	28524.30699
122	28479.98453
123	28429.47105
124	28394.42882
125	28339.78915
126	28232.11989
127	28187.66586
128	28148.5739
129	28068.23231
130	28038.17997
131	27965.89295
132	27932.46167
133	27881.42639
134	27831.29098
135	27787.60754
136	27728.24586
137	27684.93713
138	27660.49587
139	27605.39641
140	27577.21063
141	27546.09316
142	27468.51105
143	27383.49029
144	27295.9018
145	27269.25107
146	27241.09118
147	27188.12277
148	27148.49721
149	27120.45655
150	27092.56327
151	27023.21529
152	26970.15477
153	26927.5493
154	26883.58091
155	26830.02564
156	26800.97602
157	26763.79916
158	26734.13773
159	26663.89837
160	26607.65439
161	26544.06177
162	26528.57607
163	26491.33188
164	26461.55854
165	26441.89431
166	26424.46259
167	26375.71717
168	26332.55098
169	26300.26591
170	26268.5437
171	26241.80155
172	26217.90651
173	26155.89435
174	26131.11013
175	26085.87248
176	26053.37738
177	26011.49457
178	25969.02921
179	25934.87361
180	25915.11492
181	25862.83681
182	25830.30112
183	25768.79629
184	25744.92106
185	25716.15926
186	25656.69955
187	25619.43525
188	25530.0313
189	25475.70028
190	25441.21075
191	25376.96553
192	25345.59801
193	25317.73092
194	25264.41321
195	25230.31352
196	25194.86119
197	25155.71756
198	25125.54915
199	25107.42744
200	25080.14985
201	25068.68773
202	25051.23899
203	25032.49484
