iter	Passed	Remaining
0	0	836
1	1	884
2	2	835
3	3	784
4	3	786
5	4	805
6	5	787
7	6	768
8	6	728
9	7	709
10	7	703
11	8	697
12	9	695
13	9	702
14	10	692
15	11	687
16	11	690
17	12	687
18	13	690
19	13	684
20	14	685
21	15	687
22	16	689
23	16	687
24	17	690
25	18	695
26	19	698
27	20	698
28	20	700
29	21	699
30	38	1203
31	39	1183
32	39	1168
33	40	1151
34	41	1136
35	41	1120
36	42	1103
37	43	1089
38	43	1074
39	44	1063
40	44	1051
41	45	1043
42	46	1039
43	47	1030
44	47	1016
45	48	1006
46	49	1003
47	50	998
48	51	994
49	51	987
50	52	978
51	53	968
52	53	959
53	54	949
54	54	941
55	55	933
56	55	925
57	56	917
58	57	909
59	57	905
60	58	900
61	59	895
62	60	896
63	60	890
64	61	884
65	62	877
66	62	876
67	63	873
68	64	869
69	65	865
70	65	860
71	66	855
72	67	850
73	67	845
74	68	841
75	68	837
76	69	832
77	70	828
78	70	822
79	71	818
80	71	814
81	72	810
82	73	807
83	74	808
84	74	806
85	75	799
86	75	797
87	76	797
88	77	797
89	78	796
90	79	793
91	79	788
92	80	786
93	81	783
94	81	780
95	82	777
96	83	774
97	83	771
98	84	767
99	85	765
100	85	761
101	86	758
102	86	756
103	87	758
104	88	757
105	89	755
106	90	752
107	91	753
108	91	751
109	92	749
110	93	747
111	93	745
112	94	742
113	95	739
114	95	737
115	96	735
116	97	733
117	97	730
118	98	729
119	99	726
120	99	724
121	100	722
122	101	721
123	102	722
124	103	722
125	104	723
126	105	725
127	106	723
128	106	722
129	107	721
130	108	719
131	109	718
132	109	716
133	110	714
134	111	712
135	111	710
136	112	708
137	113	706
138	113	704
139	114	702
140	114	700
141	115	700
142	116	698
143	117	697
144	117	695
145	118	693
146	119	693
147	120	691
148	120	690
149	121	688
150	122	686
151	122	684
152	123	682
153	123	680
154	124	679
155	125	677
156	125	675
157	126	674
158	127	672
159	127	670
160	128	669
161	129	668
162	130	668
163	130	667
164	131	665
165	132	663
166	132	662
167	133	662
168	134	661
169	135	659
170	135	658
171	136	656
172	136	654
173	137	652
174	138	650
175	138	649
176	139	648
177	140	646
178	140	645
179	141	643
180	141	641
181	142	640
182	143	638
183	144	638
184	144	637
185	145	635
186	145	634
187	146	633
188	147	633
189	148	631
190	148	630
191	149	628
192	150	627
193	150	625
194	151	624
195	151	622
196	152	621
197	152	619
198	153	618
199	154	616
200	154	615
201	155	613
202	155	611
203	156	610
204	157	609
205	157	608
206	158	607
207	159	606
208	159	605
209	160	604
210	161	603
211	162	602
212	162	601
213	163	600
214	163	598
215	164	597
216	165	596
217	165	594
218	166	593
219	167	592
220	167	591
221	168	589
222	168	588
223	169	587
224	170	585
225	170	584
226	171	583
227	172	582
228	173	582
229	173	581
230	174	580
231	175	579
232	175	579
233	176	578
234	177	576
235	177	575
236	178	574
237	179	573
238	180	573
239	180	572
240	181	571
241	181	569
242	182	568
243	183	567
244	183	565
245	184	564
246	184	563
247	185	562
248	186	562
249	187	561
250	188	561
251	188	560
252	189	560
253	190	559
254	191	558
255	191	557
256	192	556
257	193	555
258	193	554
259	194	553
260	195	552
261	195	551
262	196	550
263	197	549
264	197	548
265	198	547
266	198	545
267	199	544
268	200	544
269	201	544
270	201	543
271	202	542
272	203	541
273	204	541
274	205	540
275	205	539
276	206	538
277	207	538
278	207	536
279	208	535
280	209	534
281	209	533
282	210	532
283	210	531
284	211	530
285	212	530
286	212	529
287	213	528
288	214	527
289	215	527
290	216	526
291	216	525
292	217	525
293	218	524
294	219	524
295	219	522
296	220	521
297	221	520
298	221	519
299	222	518
300	222	517
301	223	516
302	224	515
303	224	514
304	225	513
305	226	512
306	226	511
307	227	511
308	228	510
309	229	510
310	229	509
311	230	508
312	231	508
313	232	507
314	232	506
315	233	505
316	234	504
317	234	503
318	235	502
319	235	501
320	236	500
321	237	499
322	237	498
323	238	497
324	238	496
325	239	495
326	240	494
327	240	493
328	241	492
329	242	491
330	243	491
331	243	490
332	244	489
333	245	488
334	245	488
335	246	487
336	247	486
337	247	485
338	248	484
339	249	483
340	249	482
341	250	481
342	250	480
343	251	479
344	251	478
345	252	477
346	252	476
347	253	475
348	254	474
349	254	473
350	255	472
351	257	473
352	257	472
353	258	471
354	259	471
355	260	470
356	260	470
357	261	469
358	262	468
359	262	467
360	263	466
361	264	465
362	264	464
363	265	463
364	265	462
365	266	461
366	267	460
367	267	459
368	268	459
369	269	458
370	270	458
371	271	457
372	271	456
373	272	456
374	273	455
375	274	455
376	274	454
377	275	453
378	276	452
379	276	451
380	277	450
381	277	449
382	278	448
383	279	447
384	279	447
385	280	446
386	281	445
387	281	444
388	282	443
389	283	443
390	284	442
391	284	441
392	285	441
393	286	440
394	287	440
395	288	439
396	288	438
397	289	437
398	290	436
399	290	436
400	291	435
401	291	434
402	292	433
403	293	432
404	293	431
405	294	430
406	295	429
407	295	429
408	296	428
409	297	427
410	298	427
411	299	427
412	299	426
413	300	425
414	301	425
415	302	424
416	302	423
417	303	422
418	304	421
419	305	421
420	305	420
421	306	419
422	307	418
423	307	417
424	308	417
425	308	416
426	309	415
427	310	414
428	310	413
429	312	413
430	313	413
431	313	412
432	314	412
433	315	411
434	316	410
435	316	409
436	317	408
437	318	408
438	319	407
439	320	407
440	320	406
441	321	405
442	322	404
443	322	403
444	323	403
445	323	402
446	324	401
447	325	401
448	326	400
449	327	399
450	327	398
451	328	398
452	329	397
453	330	397
454	331	396
455	331	396
456	332	395
457	333	394
458	334	393
459	334	392
460	335	392
461	335	391
462	336	390
463	337	389
464	337	388
465	338	388
466	339	387
467	340	387
468	341	386
469	341	385
470	342	384
471	343	384
472	344	383
473	345	383
474	346	382
475	346	381
476	347	380
477	347	379
478	348	379
479	349	378
480	349	377
481	350	376
482	351	375
483	351	374
484	352	374
485	353	373
486	354	373
487	355	372
488	355	371
489	357	372
490	358	371
491	359	370
492	360	370
493	360	369
494	361	368
495	362	367
496	362	367
497	363	366
498	363	365
499	364	364
500	365	363
501	365	362
502	366	361
503	366	361
504	367	360
505	368	359
506	369	359
507	370	358
508	370	357
509	371	357
510	372	356
511	373	355
512	374	355
513	374	354
514	375	353
515	375	352
516	376	351
517	377	351
518	377	350
519	378	349
520	379	348
521	379	347
522	380	346
523	381	346
524	381	345
525	382	344
526	383	344
527	384	343
528	384	342
529	385	341
530	386	341
531	386	340
532	387	339
533	388	338
534	388	337
535	389	337
536	390	336
537	390	335
538	391	334
539	391	333
540	392	332
541	393	332
542	393	331
543	394	330
544	394	329
545	395	329
546	396	328
547	397	327
548	398	326
549	398	326
550	399	325
551	400	324
552	400	324
