sigungu	dangi	area	cntr_ym	cntr_d	price	dong	floor	built_year	road_nm	trns_type	agent_gu	register_ymd
서울특별시 용산구 후암동	브라운스톤남산	166.98	202204	25	205000	-	2	2004	후암로 65	중개거래	서울 서초구	-
서울특별시 용산구 후암동	후암미주	62.28	202203	24	110000	-	2	1980	후암로 71-1	중개거래	서울 용산구	-
서울특별시 용산구 후암동	뉴후암	67.11	202202	12	75000	-	3	1973	후암로 71	직거래	-	-
서울특별시 용산구 후암동	남산애지앙	44.88	202202	7	56500	-	1	2003	후암로34길 31-17	중개거래	서울 용산구	-
서울특별시 용산구 후암동	후암	84.11	202111	25	65000	-	2	2002	후암로22길 10	직거래	-	-
서울특별시 용산구 후암동	후암맨션	72.13	202111	4	74500	-	6	1974	후암로44길 8	중개거래	서울 용산구	-
서울특별시 용산구 후암동	브라운스톤남산	166.56	202109	14	170000	-	3	2004	후암로 65	-	-	-
서울특별시 용산구 후암동	남산애지앙	44.88	202108	26	50000	-	1	2003	후암로34길 31-17	-	-	-
서울특별시 용산구 후암동	신후암	66.51	202107	31	53000	-	6	1971	후암로28길 10	-	-	-
서울특별시 용산구 후암동	화인	143.25	202106	26	120000	-	2	2002	후암로16길 27	-	-	-
서울특별시 용산구 후암동	후암미주	62.78	202105	31	105000	-	3	1980	후암로 71-1	-	-	-
서울특별시 용산구 동자동	센트레빌아스테리움서울	131.05	202205	7	165000	-	12	2013	한강대로 372	중개거래	서울 용산구	-
서울특별시 용산구 동자동	센트레빌아스테리움서울	145.2	202204	19	180000	-	24	2013	한강대로 372	직거래	-	-
서울특별시 용산구 동자동	센트레빌아스테리움서울	149.05	202110	5	186000	-	15	2013	한강대로 372	-	-	-
서울특별시 용산구 동자동	센트레빌아스테리움서울	145.2	202109	7	185000	-	22	2013	한강대로 372	-	-	-
서울특별시 용산구 동자동	센트레빌아스테리움서울	131.05	202108	20	172000	-	27	2013	한강대로 372	-	-	-
서울특별시 용산구 청파동3가	한울글로리A	91.03	202202	11	52000	-	5	2003	효창원로76길 7	중개거래	서울 광진구	-
